EGolden_SWOA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
avg,3.99E-235,1.86E-113,1.40E-172,1.40E-115,27.17424751,0,0.00044855,-12394.8831,0,4.44E-16,0,0.007947362,0.245525039,1.359136757,0.000635144,-1.03162825,0.397893182,3.000067424,-3.862628013,-3.250085905,-10.11183119,-10.37193342,-10.38555606
time,0.420670881,0.42794384,0.701255407,0.413103886,0.436761656,0.489320903,0.483616719,0.43146728,0.430170999,0.450549393,0.450089645,0.547508831,0.534876552,1.375356197,1.157484307,0.402189136,0.38779388,0.414061513,2.445701542,2.439331303,1.487197084,1.91817214,2.55406682
worst,1.02E-233,9.29E-112,6.20E-171,2.01E-114,27.92861731,0,0.001880814,-10611.65254,0,4.44E-16,0,0.016953893,0.73319716,2.982105157,0.00225224,-1.031626869,0.397957479,3.000399702,-3.861538264,-3.086816672,-9.86195591,-10.25614755,-3.83258028
best,5.29E-263,3.47E-133,2.33E-210,8.58E-127,26.68183129,0,1.42E-05,-12569.48655,0,4.44E-16,0,0.003246049,0.090705092,0.998003838,0.000307555,-1.031628453,0.397887359,3.000000031,-3.862781386,-3.321986029,-10.15260978,-10.40020672,-10.53632466
std,0,1.30E-112,0,4.21E-115,0.373757497,0,0.000401881,365.4303132,0,0,0,0.003568623,0.11700404,0.618608899,0.00054389,3.67E-07,1.10E-05,9.64E-05,0.000272046,0.089981246,0.05113873,0.029969848,0.936254876
