,Sphere,Rastrigin,Ackley,Griewank,Schwefel P2.22,Rosenbrock,Sehwwefel P2.21,Quartic,Schwefel P1.2,Penalized 1,Penalized 2,Schwefel P2.26,Step,Kowalik,Shekel Foxholes,Goldstein-Price,Shekel 5,Branin,Hartmann 3,Shekel 7,Shekel 10,Six-Hump Camel-Back,Hartmann 6,Zakharov,Sum Squares,Alpine,Michalewicz,Exponential,Schaffer,Bent Cigar,Bohachevsky 1,Elliptic,Drop Wave,Cosine Mixture,Ellipsoidal,Levy and Montalvo 1
avg,1.2242980782475577e-259,0.0,4.440892098500626e-16,0.0,1.776835581149538e-136,28.306581992054554,1.2664261393684177e-134,0.00021887762194810304,3.0637969833501345e-210,0.02267910376689128,0.3411458928094801,-12568.021287615318,0.0,0.00046845653306808416,1.1410030268488476,3.0000704551482493,-10.152304990341646,0.39797898280461846,-3.862526459150534,-10.40229173748829,-10.152956854983326,-1.0316280322340827,-3.270889822857569,7.473089237883222e-167,3.6652136204053486e-272,1.1756055828115947e-135,-1.8012975785296392,-1.0,0.0024558590381126223,6.592871336334406e-264,0.0,5.170480785026684e-274,-1.0,-3.0,586.5488492153258,6.146105047820995e-06
std,0.0,0.0,0.0,0.0,9.050691406287269e-136,0.30521715677871114,4.531750908161049e-134,0.00017353678842756506,0.0,0.006864552045022812,0.12090646497002792,5.038347688364266,0.0,0.00024867293689470734,0.39675306646317077,0.00018085998190559406,0.002096923089750585,0.000254890063777585,0.00035011831017431387,0.0009475013605058652,0.0004993459423091009,9.871079309541828e-07,0.07543180235992233,0.0,0.0,5.227820791295398e-135,1.2658426539135063e-05,0.0,1.936667506847821e-09,0.0,0.0,0.0,0.0,0.0,137.56867885841132,6.743040148048374e-06
worst,6.121486495306266e-258,0.0,4.440892098500626e-16,0.0,5.801632675503882e-135,28.742424730674834,2.360068294933084e-133,0.000650970099159623,1.3650835543709089e-208,0.03656342639570379,0.5876007832073018,-12534.82205787521,0.0,0.0015751426529451032,2.9821051579200435,3.001230780774366,-10.140757133977571,0.3994730933855646,-3.861483018887531,-10.398718226453616,-10.150360429815093,-1.0316217710402598,-3.0405741451576174,3.736543719949004e-165,1.8204143250111194e-270,3.545844606377733e-134,-1.8012174809411652,-1.0,0.0024558695184646595,3.2963752082522364e-262,0.0,2.5851007880131397e-272,-1.0,-3.0,918.534081431362,2.8833726454788834e-05
best,5.771172919517135e-299,0.0,4.440892098500626e-16,0.0,4.611856257558647e-157,27.559118224769875,4.935931169266957e-155,1.3555784585625357e-05,9.701344154215055e-256,0.009872534133498695,0.16443931023164127,-12569.486410338579,0.0,0.00031267033042953765,0.9980038379805394,3.000000152784734,-10.153199113796726,0.3978873656096411,-3.8627820586201973,-10.402901125291597,-10.153199143449523,-1.0316284516095942,-3.3217614338288906,3.289278868681573e-242,1.09176551043e-312,5.438460271306151e-156,-1.801303394078805,-1.0,0.0024558581715137806,3.717813783908358e-304,0.0,5.568860655516994e-305,-1.0,-3.0,330.29539006425773,2.495149326265681e-09
ideal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12569.486618173014,0.0,0.0003074861,0.9980038377944493,3.0,-10.1532,0.39788735772973816,-3.86278214782076,-10.1532,-10.1532,-1.031628453489877,-3.32236801141551,0.0,0.0,0.0,-1.8013034100985532,-1.0,0.0,0.0,0.0,0.0,-1.0,-3.0,0.0,0.0
time,0.2963892364501953,0.2954872751235962,0.307448582649231,0.3075994873046875,0.2984502649307251,0.30427621841430663,0.2957444429397583,0.327260684967041,0.30114673137664794,0.3537237882614136,0.35358634471893313,0.300491247177124,0.29838782787323,0.6558433485031128,0.7211355686187744,0.2837495994567871,0.31362869262695314,0.2780393934249878,0.30615691184997557,0.32545355319976804,0.31347557067871096,0.28092629432678223,0.31109946727752685,0.3110770845413208,0.29873708724975584,0.30016531944274905,0.28473725318908694,0.29268885135650635,0.2754406070709228,0.29710653781890867,0.2746314764022827,0.3019913721084595,0.2744576454162598,0.3018836688995361,0.29605960369110107,0.32397698879241943
