EGolden_SWOA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
163,4.23E-11,1.80E-07,8.33E-01,4.59E-06,28.68449338,0,0.002147247,-11841.57164,1.10E-10,2.34E-07,7.22E-12,3.68E-02,0.502751136,1.638650654,0.001096531,-1.031577228,0.398541673,3.001553067,-3.848981551,-3.193984713,-9.948560653,-10.23853633,-10.33033239
164,4.14E-11,1.69E-07,8.33E-01,4.06E-06,28.6826249,0,0.002147247,-11848.71343,6.18E-11,2.18E-07,4.50E-12,3.65E-02,0.501838229,1.618340058,0.001096095,-1.0315824,0.39854042,3.001546474,-3.849017741,-3.194960719,-9.951233805,-10.23981031,-10.33397236
165,4.04E-11,1.39E-07,8.33E-01,3.47E-06,28.68088753,0,0.002142045,-11854.30271,5.43E-11,2.06E-07,3.51E-12,3.63E-02,0.501088236,1.618334557,0.001095931,-1.0315824,0.398538766,3.001546474,-3.849760578,-3.195056098,-9.953329538,-10.24074887,-10.3340675
166,3.19E-11,1.29E-07,8.29E-01,3.23E-06,28.67908744,0,0.002061693,-11856.20424,4.89E-11,1.77E-07,3.04E-12,3.62E-02,0.500514246,1.61833416,0.001088609,-1.0315824,0.398538111,3.001546474,-3.849815472,-3.196045774,-9.957482098,-10.24092039,-10.33442251
167,2.79E-11,1.01E-07,8.29E-01,2.64E-06,28.67805189,0,0.002061693,-11859.27489,4.08E-11,1.59E-07,2.76E-12,3.60E-02,0.499391264,1.618333768,0.001081289,-1.031583663,0.398538111,3.001532305,-3.849901187,-3.196107416,-9.958975509,-10.24153746,-10.3361804
168,1.88E-11,7.92E-08,8.29E-01,2.45E-06,28.67592817,0,0.002024678,-11860.20454,3.63E-11,1.32E-07,2.59E-12,3.58E-02,0.49858753,1.618032724,0.001079676,-1.031583881,0.398538111,3.001526947,-3.849953843,-3.196372414,-9.961052742,-10.24354751,-10.3368688
169,1.87E-11,7.33E-08,8.29E-01,2.12E-06,28.67357825,0,0.002024678,-11869.6928,3.58E-11,1.20E-07,2.39E-12,3.55E-02,0.497581281,1.618032529,0.00107875,-1.031583924,0.398530701,3.001463275,-3.849991648,-3.196444907,-9.965153154,-10.24776475,-10.33731757
170,1.87E-11,7.19E-08,8.29E-01,1.33E-06,28.67127694,0,0.002024678,-11869.6928,2.33E-11,1.13E-07,2.16E-12,3.53E-02,0.497431947,1.617560484,0.001078621,-1.031584367,0.398525928,3.001452636,-3.850094872,-3.196569002,-9.967275479,-10.25288442,-10.34057237
171,1.16E-11,5.02E-08,8.29E-01,1.22E-06,28.67064432,0,0.002002018,-11870.09141,1.58E-11,9.97E-08,2.13E-12,3.50E-02,0.495915343,1.617559932,0.00107814,-1.031584367,0.398525928,3.001451096,-3.850482942,-3.196739446,-9.967275479,-10.25671877,-10.34057237
172,2.03E-12,4.66E-08,8.28E-01,1.19E-06,28.66907504,0,0.002002018,-11874.10185,1.56E-11,9.57E-08,2.08E-12,3.48E-02,0.494926917,1.617553336,0.001078097,-1.031585053,0.398525928,3.001446618,-3.850923013,-3.196789373,-9.96982218,-10.25723591,-10.34096325
173,5.97E-13,4.42E-08,7.89E-01,8.35E-07,28.66515173,0,0.002002018,-11874.73503,1.29E-11,9.30E-08,1.82E-12,3.45E-02,0.494324092,1.617547264,0.001066099,-1.031587578,0.398525928,3.001331534,-3.850925458,-3.197174924,-9.96982218,-10.25942208,-10.34204584
174,4.11E-13,3.28E-08,1.23E-01,7.74E-07,28.66401392,0,0.002002018,-11876.48123,1.12E-11,8.77E-08,6.70E-13,3.42E-02,0.493151721,1.61753558,0.001066007,-1.031587824,0.398525817,3.001331534,-3.850929029,-3.197505865,-9.970903781,-10.2594414,-10.34377228
175,3.87E-13,3.12E-08,1.23E-01,7.35E-07,28.66157029,0,0.002002018,-11876.76311,1.03E-11,8.02E-08,1.39E-13,3.42E-02,0.492542032,1.617535232,0.001065197,-1.031587824,0.398525344,3.001327728,-3.850965005,-3.197804701,-9.979302645,-10.26068026,-10.34438139
176,2.95E-13,2.83E-08,1.23E-01,7.08E-07,28.66004553,0,0.001977636,-11877.81527,2.18E-12,6.23E-08,7.95E-14,3.39E-02,0.491786401,1.617500006,0.001064781,-1.031588675,0.398525344,3.001318693,-3.851057632,-3.197930377,-9.983709197,-10.26095895,-10.34438139
177,6.37E-14,2.73E-08,1.23E-01,6.74E-07,28.65860001,0,0.001965693,-11878.02637,1.26E-12,5.48E-08,4.62E-14,3.38E-02,0.489952979,1.617499443,0.001048521,-1.031588824,0.398525344,3.001211924,-3.851532554,-3.198339014,-9.98450516,-10.26095901,-10.34476466
178,5.12E-14,2.18E-08,1.23E-01,4.61E-07,28.65471823,0,0.001965693,-11878.02637,7.12E-13,5.22E-08,4.02E-14,3.38E-02,0.488892441,1.617497654,0.001028389,-1.031589181,0.39852481,3.001131745,-3.851540429,-3.198399521,-9.98797179,-10.26286747,-10.35020763
179,4.39E-14,2.14E-08,1.20E-01,4.05E-07,28.65273455,0,0.001965693,-11879.51133,6.76E-13,4.98E-08,2.27E-14,3.35E-02,0.488251745,1.617497576,0.001028064,-1.031589775,0.398521485,3.001070278,-3.851840987,-3.198524719,-9.988242636,-10.26420493,-10.35064076
180,2.55E-14,2.03E-08,1.20E-01,2.55E-07,28.65119845,0,0.001965693,-11880.56525,4.79E-13,3.55E-08,1.77E-14,3.33E-02,0.487948175,1.617497575,0.001025447,-1.03158995,0.398503868,3.001070278,-3.851892271,-3.198744498,-9.994161839,-10.26556123,-10.35207945
181,2.45E-14,1.85E-08,1.20E-01,2.14E-07,28.64963112,0,0.001944068,-11880.84811,2.44E-13,3.47E-08,1.16E-14,3.31E-02,0.486785702,1.616837762,0.001021894,-1.03158995,0.398503868,3.001070278,-3.852256183,-3.199211442,-9.995740609,-10.26581442,-10.35214718
